Sector Name	Gas	Country	Year of Date	t
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1990	11,056,340
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1991	11,767,755
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1992	8,599,200
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1993	8,430,924
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1994	8,712,226
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1995	9,811,705
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1996	11,073,216
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1997	11,107,865
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1998	10,103,220
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	1999	10,048,584
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2000	9,768,092
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2001	11,269,824
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2002	10,529,164
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2003	12,985,553
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2004	12,685,206
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2005	12,726,347
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2006	11,638,856
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2007	10,394,117
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2008	10,300,550
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2009	9,256,321
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2010	10,660,600
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2011	10,248,201
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2012	8,805,057
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2013	7,804,151
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2014	6,308,966
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2015	7,299,322
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2016	7,109,157
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2017	7,784,172
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2018	6,872,451
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2019	6,947,230
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2020	5,661,353
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2021	5,641,843
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2022	5,594,890
1.A.1.a - Public Electricity and Heat Production	CO₂	Austria	2023	4,447,257
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1990	23,173,015
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1991	23,835,792
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1992	22,890,561
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1993	22,886,711
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1994	23,931,424
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1995	23,803,565
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1996	22,706,017
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1997	21,875,411
1.A.1.a - Public Electricity and Heat Production	CO₂	Belgium	1998	24,705,585
